algorithm,train_data_file,mean_recall,std_recall
NB,"data/train_test/data_tfidf_400_(1, 3)_clean_steeming_lemmatization.pkl",0.89,0.07
SVM,"data/train_test/data_tfidf_400_(1, 3)_clean_steeming_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tfidf_400_(1, 3)_clean_steeming_lemmatization.pkl",0.84,0.11
RF,"data/train_test/data_tfidf_400_(1, 3)_clean_steeming_lemmatization.pkl",0.87,0.09
GB,"data/train_test/data_tfidf_400_(1, 3)_clean_steeming_lemmatization.pkl",0.87,0.1
NB,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.95,0.04
SVM,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.14,0.05
LR,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.85,0.09
RF,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.88,0.07
GB,"data/train_test/data_tc_500_(1, 3)_clean.pkl",0.79,0.09
NB,"data/train_test/data_tc_200_(1, 1)_clean.pkl",0.94,0.06
SVM,"data/train_test/data_tc_200_(1, 1)_clean.pkl",0.47,0.05
LR,"data/train_test/data_tc_200_(1, 1)_clean.pkl",0.82,0.07
RF,"data/train_test/data_tc_200_(1, 1)_clean.pkl",0.87,0.1
GB,"data/train_test/data_tc_200_(1, 1)_clean.pkl",0.86,0.1
NB,"data/train_test/data_tc_100_(1, 1)_clean_lemmatization.pkl",0.95,0.07
SVM,"data/train_test/data_tc_100_(1, 1)_clean_lemmatization.pkl",0.72,0.11
LR,"data/train_test/data_tc_100_(1, 1)_clean_lemmatization.pkl",0.85,0.09
RF,"data/train_test/data_tc_100_(1, 1)_clean_lemmatization.pkl",0.87,0.07
GB,"data/train_test/data_tc_100_(1, 1)_clean_lemmatization.pkl",0.85,0.08
NB,"data/train_test/data_tf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.94,0.05
SVM,"data/train_test/data_tf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.82,0.07
RF,"data/train_test/data_tf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.9,0.04
GB,"data/train_test/data_tf_200_(1, 2)_clean_steeming_lemmatization.pkl",0.84,0.09
NB,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.95,0.06
SVM,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.19,0.08
LR,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.89,0.12
RF,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.88,0.07
GB,"data/train_test/data_tc_500_(1, 2)_clean_lemmatization.pkl",0.84,0.11
NB,"data/train_test/data_tf_500_(1, 1)_clean.pkl",0.96,0.05
SVM,"data/train_test/data_tf_500_(1, 1)_clean.pkl",0.0,0.0
LR,"data/train_test/data_tf_500_(1, 1)_clean.pkl",0.81,0.11
RF,"data/train_test/data_tf_500_(1, 1)_clean.pkl",0.86,0.1
GB,"data/train_test/data_tf_500_(1, 1)_clean.pkl",0.85,0.11
NB,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.92,0.06
SVM,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.08,0.03
LR,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.84,0.09
RF,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.86,0.1
GB,"data/train_test/data_tc_800_(1, 2)_clean_lemmatization.pkl",0.83,0.08
NB,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.96,0.04
SVM,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.07,0.04
LR,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.85,0.08
RF,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.87,0.09
GB,"data/train_test/data_tc_800_(1, 3)_clean_lemmatization.pkl",0.77,0.1
NB,"data/train_test/data_tf_800_(1, 1)_clean_lemmatization.pkl",0.94,0.06
SVM,"data/train_test/data_tf_800_(1, 1)_clean_lemmatization.pkl",0.0,0.0
LR,"data/train_test/data_tf_800_(1, 1)_clean_lemmatization.pkl",0.82,0.07
RF,"data/train_test/data_tf_800_(1, 1)_clean_lemmatization.pkl",0.88,0.07
GB,"data/train_test/data_tf_800_(1, 1)_clean_lemmatization.pkl",0.81,0.09
NB,"data/train_test/data_tf_800_(1, 1)_clean_steeming.pkl",0.96,0.04
SVM,"data/train_test/data_tf_800_(1, 1)_clean_steeming.pkl",0.0,0.0
LR,"data/train_test/data_tf_800_(1, 1)_clean_steeming.pkl",0.81,0.1
